Full Name,Lead Owner,Lead Owner Email,Prospect Owner: Owner ID,First Name,Last Name,How?,Courses,Branch,Billing State,Stream,Prospect Contact,Prospect Contact Detail,Prospect Source,Age,Whatsapp Number,Where?,Email,Mobile Phone,Prospect Record Type,Domicile | Country,Work Experience,City,Nationality,YRN Country,State/Region,Date for meeting,Best time to call,Preferred Contact Type,Medium of Education,Date of Birth,Designation |Title,Percentage,Specialization,Percentage in Xth standard?,Product,Intake Deadline,Budget (INR/USD),Purpose of Training,Countries interested in,How many years of Education do you have?,Who are the Members,Enroll for coaching,Level of Study Interested In,What is your highest education?
test bt,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,bt,Migrate,,,Telangana,,,Newspaper Ad,Website,30,91566124322,Canada,kght@gmail.com,27855445214,Immigration Lead,,,,,India,,,,,,19-01-1992,,,,,,,,,,,,,,Master
test bu,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,bu,Migrate,,,Telangana,,,Newspaper Ad,Website,30,9144244534,Canada,kghu@gmail.com,27855445215,Immigration Lead,,,,,India,,,,,,20-01-1992,,,,,,,,,,,,,,Master
so ug,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,,so ug,Study UG,,,Telangana,,Call,,Website,,91343453453,Australia,dfsdfc@mail.com,27855445216,SO UG,India,NONE,,India,India,,,,,,13-01-1993,,,,,,,,,,,,None,,None
test vv,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,vv,Visit,,,Telangana,,Live Chat,Chatbot,Website,30,91455661222,Dubai,dftgrjh@gmail.com,27855445217,VISA,India,,nagpur,India,India,,07-01-2023,1:00 PM - 2:00 PM,,,13-01-1993,,,,,,,,,,,,,,Bachelors
test gg,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,gg,Invest,,,Telangana,,Live Chat,Chatbot,Website,30,91756556456,British Columbia,drfghi@gmail.com,27855445218,Enterpreneur,India,3,bhopal,India,India,,07-01-2023,3:00 PM - 4:00 PM,,,13-01-1993,,,,,,,,,,,,,,Masters
test visit,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,visit,Visit,,,Telangana,,Website,Website,Website,27,91456645645,Singapore,kuytiou@gmail.com,27855445219,VISA,India,,nagpur,India,India,,06-01-2023,11:00 AM - 12:00 Noon,Call,,11-05-1995,,,,,,,,,,,,,,
test invest,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,invest,Invest,,,Telangana,,Website,Website,Website,27,91445645645,Australia,ftgyuiiu@gmail.com,27855445220,Enterpreneur,India,3,nagpur,India,India,,06-01-2023,4:00 PM - 5:00 PM,Call,,05-07-1995,,,,,,,,,,,,,,Masters
test mm,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,mm,Visit,,,Telangana,,Live Chat,Chatbot,Website,30,91867767867,Europe,sdftgre@gmail.com,45561223300,VISA,India,,mumbai,India,India,,09-01-2023,1:00 PM - 2:00 PM,,,13-05-1992,,,,,,,,,,,,,,Bachelors
test bb,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,bb,Invest,,,Telangana,,Live Chat,Chatbot,Website,29,91896756767,British Columbia,fghjkj@gmail.com,45566874500,Enterpreneur,India,3,haryana,India,India,,09-01-2023,1:00 PM - 2:00 PM,,,16-06-1993,,,,,,,,,,,,,,Masters
test visit,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,visit,Visit,,,Telangana,,Website,Website,Website,26,9178786786,Singapore,iuiujjn@gmail.com,7454777411,VISA,India,,chandrapur,India,India,,07-01-2023,2:00 PM - 3:00 PM,Call,,17-07-1996,,,,,,,,,,,,,,
